case_id,category,wingspan_m,wing_area_m2,fuse_length_m,declared_tail_cfg,success,candidates,feasible,rejected,tail_config,V_h,V_v,tail_arm_m,h_area_m2,v_area_m2,h_span_m,h_ar,v_ar,score
FW-011,Agriculture,2.59,0.6067,1.6,V-Tail,SUCCESS,12096,3456,8640,Conventional,0.625,0.03,1.295,0.0686,0.0364,0.454,3.0,1.2,-0.1454
FW-012,Research,2.33,0.6392,1.79,Inverted V-Tail,SUCCESS,12096,5184,6912,Conventional,0.625,0.03,1.445,0.0759,0.0309,0.477,3.0,1.2,-0.1553
FW-013,Agriculture,1.41,0.3632,1.9,Twin Boom,SUCCESS,12096,2880,9216,Conventional,0.625,0.03,0.874,0.0669,0.0176,0.448,3.0,1.2,-0.1667
FW-014,Agriculture,1.66,0.2519,0.81,T-Tail,SUCCESS,12096,1152,10944,Conventional,0.626,0.03,0.631,0.0379,0.0199,0.337,3.0,1.2,-0.1503
FW-015,Long Endurance,2.3,0.4259,0.83,Inverted V-Tail,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-016,Cargo,1.63,0.3469,1.44,V-Tail,SUCCESS,12096,5184,6912,Conventional,0.626,0.03,1.011,0.0457,0.0168,0.37,3.0,1.2,-0.1709
FW-017,Cargo,1.44,0.2601,1.86,T-Tail,SUCCESS,12096,3360,8736,Conventional,0.625,0.03,0.893,0.0329,0.0126,0.314,3.0,1.2,-0.1759
FW-018,Mapping,1.37,0.2161,1.7,Twin Boom,SUCCESS,12096,2512,9584,Conventional,0.626,0.03,0.849,0.0251,0.0105,0.274,3.0,1.2,-0.1782
FW-019,Research,1.55,0.2835,1.45,T-Tail,SUCCESS,12096,3360,8736,Conventional,0.625,0.03,0.961,0.0337,0.0137,0.318,3.0,1.2,-0.1751
FW-020,Research,1.81,0.5167,0.97,Twin Boom,SUCCESS,12096,576,11520,Conventional,0.625,0.03,0.688,0.134,0.0408,0.634,3.0,1.2,-0.1245
FW-021,Training,2.84,0.7828,1.55,Twin Boom,SUCCESS,12096,576,11520,Conventional,0.625,0.03,1.079,0.1249,0.0618,0.612,3.0,1.2,-0.1146
FW-022,Survey,1.45,0.2185,1.42,Conventional,SUCCESS,12096,1584,10512,Conventional,0.625,0.03,0.899,0.0229,0.0106,0.262,3.0,1.2,-0.1787
FW-023,Research,1.65,0.4006,0.94,Inverted V-Tail,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,0.627,0.097,0.0316,0.539,3.0,1.2,-0.1354
FW-024,Racing,1.98,0.3508,1.38,T-Tail,SUCCESS,12096,2304,9792,Conventional,0.624,0.03,0.99,0.0392,0.021,0.343,3.0,1.2,-0.1599
FW-025,Surveillance,2.06,0.3479,1.17,V-Tail,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,0.783,0.0469,0.0275,0.375,3.0,1.2,-0.1458
FW-026,Research,2.83,0.7089,1.61,T-Tail,SUCCESS,12096,1152,10944,Conventional,0.625,0.03,1.075,0.1032,0.056,0.556,3.0,1.2,-0.1218
FW-027,Cargo,1.84,0.3062,1.58,Inverted V-Tail,SUCCESS,12096,4896,7200,Conventional,0.625,0.03,1.141,0.0279,0.0148,0.289,3.0,1.2,-0.1755
FW-028,Research,1.94,0.4594,1.02,Inverted V-Tail,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,0.737,0.0922,0.0363,0.526,3.0,1.2,-0.134
FW-029,Racing,2.72,0.5615,1.94,Twin Boom,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,1.36,0.0533,0.0337,0.4,3.0,1.2,-0.1499
FW-030,Survey,2.79,0.7764,0.88,T-Tail,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-031,Research,2.95,0.6435,0.91,Twin Boom,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-032,Surveillance,1.96,0.4939,1.44,Conventional,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,1.215,0.064,0.0239,0.438,3.0,1.2,-0.1629
FW-033,Training,1.28,0.3666,1.17,Twin Boom,SUCCESS,12096,2688,9408,Conventional,0.625,0.03,0.794,0.0827,0.0177,0.498,3.0,1.2,-0.1637
FW-034,Training,2.33,0.4694,1.16,Inverted V-Tail,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,0.885,0.0668,0.0371,0.448,3.0,1.2,-0.138
FW-035,Training,2.58,0.7478,1.23,Twin Boom,SUCCESS,12096,576,11520,Conventional,0.625,0.03,0.98,0.1382,0.059,0.644,3.0,1.2,-0.1138
FW-036,Custom,1.42,0.3313,0.93,V-Tail,SUCCESS,12096,3456,8640,Conventional,0.625,0.03,0.71,0.068,0.0199,0.452,3.0,1.2,-0.1553
FW-037,Cargo,1.59,0.3424,0.93,T-Tail,SUCCESS,12096,1152,10944,Conventional,0.625,0.03,0.604,0.0763,0.027,0.478,3.0,1.2,-0.141
FW-038,Research,2.8,0.5972,1.42,Conventional,SUCCESS,12096,576,11520,Conventional,0.625,0.03,1.064,0.0748,0.0471,0.474,3.0,1.2,-0.1315
FW-039,Surveillance,2.53,0.6035,1.36,Twin Boom,SUCCESS,12096,576,11520,Conventional,0.625,0.03,0.961,0.0936,0.0476,0.53,3.0,1.2,-0.128
FW-040,Agriculture,2.92,0.4931,1.09,T-Tail,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-041,Surveillance,2.57,0.4749,0.84,Inverted V-Tail,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-042,Survey,1.56,0.3474,1.28,Twin Boom,SUCCESS,12096,2880,9216,Conventional,0.625,0.03,0.967,0.05,0.0168,0.387,3.0,1.2,-0.1703
FW-043,Mapping,1.32,0.2091,1.54,Twin Boom,SUCCESS,12096,2512,9584,Conventional,0.625,0.03,0.818,0.0253,0.0101,0.275,3.0,1.2,-0.1785
FW-044,Surveillance,1.93,0.3971,1.86,Twin Boom,SUCCESS,12096,2880,9216,Conventional,0.625,0.03,1.197,0.0427,0.0192,0.358,3.0,1.2,-0.1701
FW-045,Survey,1.46,0.4304,1.55,T-Tail,SUCCESS,12096,3264,8832,Conventional,0.625,0.03,0.905,0.0876,0.0208,0.513,3.0,1.2,-0.1607
FW-046,Agriculture,2.75,0.4281,0.99,Twin Boom,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-047,Research,1.49,0.2236,1.67,T-Tail,SUCCESS,12096,3168,8928,Conventional,0.625,0.03,0.924,0.0227,0.0108,0.261,3.0,1.2,-0.1786
FW-048,Survey,2.68,0.4777,1.53,V-Tail,SUCCESS,12096,1728,10368,Conventional,0.624,0.03,1.018,0.0522,0.0377,0.396,3.0,1.2,-0.1403
FW-049,Racing,1.67,0.4557,1.93,V-Tail,SUCCESS,12096,5184,6912,Conventional,0.625,0.03,1.035,0.0751,0.0221,0.475,3.0,1.2,-0.1621
FW-050,Mapping,2.42,0.3952,1.71,Twin Boom,SUCCESS,12096,1632,10464,Conventional,0.624,0.03,1.21,0.0333,0.0237,0.316,3.0,1.2,-0.1595
FW-051,Training,1.51,0.2508,1.27,T-Tail,SUCCESS,12096,3264,8832,Conventional,0.625,0.03,0.936,0.0278,0.0121,0.289,3.0,1.2,-0.177
FW-052,Surveillance,1.22,0.2043,1.72,Conventional,SUCCESS,12096,1588,10508,Conventional,0.626,0.03,0.756,0.0283,0.0099,0.291,3.0,1.2,-0.178
FW-053,Cargo,1.78,0.4701,1.81,Twin Boom,SUCCESS,12096,2880,9216,Conventional,0.625,0.03,1.104,0.0703,0.0227,0.459,3.0,1.2,-0.1625
FW-054,Agriculture,2.92,0.6216,1.93,Twin Boom,SUCCESS,12096,1728,10368,Conventional,0.626,0.03,1.46,0.0567,0.0373,0.412,3.0,1.2,-0.1468
FW-055,Survey,1.78,0.4722,1.35,Inverted V-Tail,SUCCESS,12096,5184,6912,Conventional,0.625,0.03,1.104,0.0709,0.0228,0.461,3.0,1.2,-0.1624
FW-056,Custom,1.69,0.4591,1.23,Conventional,SUCCESS,12096,1152,10944,Conventional,0.625,0.03,0.845,0.0923,0.0275,0.526,3.0,1.2,-0.1467
FW-057,Agriculture,2.95,0.7489,1.99,T-Tail,SUCCESS,12096,2304,9792,Conventional,0.625,0.03,1.475,0.0806,0.0449,0.492,3.0,1.2,-0.1374
FW-058,Cargo,2.17,0.5447,1.15,Conventional,SUCCESS,12096,576,11520,Conventional,0.625,0.03,0.825,0.1036,0.043,0.557,3.0,1.2,-0.1287
FW-059,Racing,2.25,0.3695,1.05,Twin Boom,SUCCESS,12096,576,11520,Conventional,0.626,0.03,0.855,0.0444,0.0292,0.365,3.0,1.2,-0.1453
FW-060,Agriculture,1.7,0.3308,1.8,Twin Boom,SUCCESS,12096,2880,9216,Conventional,0.625,0.03,1.054,0.0382,0.016,0.339,3.0,1.2,-0.1729
FW-061,Cargo,1.88,0.4326,1.38,Conventional,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,1.166,0.0534,0.0209,0.4,3.0,1.2,-0.1669
FW-062,Long Endurance,2.74,0.6906,1.19,T-Tail,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-063,Cargo,2.36,0.5832,1.26,Inverted V-Tail,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,0.897,0.1004,0.046,0.549,3.0,1.2,-0.1277
FW-064,Custom,1.38,0.3146,1.39,Twin Boom,SUCCESS,12096,2880,9216,Conventional,0.625,0.03,0.856,0.0524,0.0152,0.396,3.0,1.2,-0.1708
FW-065,Custom,1.65,0.4923,0.84,Conventional,SUCCESS,12096,576,11520,Conventional,0.625,0.03,0.627,0.1464,0.0389,0.663,3.0,1.2,-0.1233
FW-066,Mapping,2.29,0.5932,1.25,Conventional,SUCCESS,12096,576,11520,Conventional,0.625,0.03,0.87,0.1103,0.0468,0.575,3.0,1.2,-0.1255
FW-067,Custom,2.29,0.6634,1.25,Inverted V-Tail,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,0.87,0.138,0.0524,0.643,3.0,1.2,-0.1176
FW-068,Agriculture,1.69,0.3384,1.65,Twin Boom,SUCCESS,12096,2880,9216,Conventional,0.625,0.03,1.048,0.0404,0.0164,0.348,3.0,1.2,-0.1723
FW-069,Mapping,1.81,0.2802,1.59,Conventional,SUCCESS,12096,1584,10512,Conventional,0.626,0.03,1.122,0.0242,0.0136,0.269,3.0,1.2,-0.1767
FW-070,Training,1.49,0.28,1.48,Inverted V-Tail,SUCCESS,12096,5184,6912,Conventional,0.625,0.03,0.924,0.0356,0.0135,0.327,3.0,1.2,-0.1748
FW-071,Custom,2.28,0.5994,1.28,Twin Boom,SUCCESS,12096,576,11520,Conventional,0.625,0.03,0.866,0.1137,0.0473,0.584,3.0,1.2,-0.1247
FW-072,Racing,2.99,0.7083,1.69,Conventional,SUCCESS,12096,576,11520,Conventional,0.625,0.03,1.136,0.0923,0.0559,0.526,3.0,1.2,-0.1237
FW-073,Mapping,2.15,0.457,1.37,Conventional,SUCCESS,12096,1152,10944,Conventional,0.625,0.03,1.075,0.0565,0.0274,0.412,3.0,1.2,-0.1531
FW-074,Research,1.4,0.398,1.81,Inverted V-Tail,SUCCESS,12096,4896,7200,Conventional,0.625,0.03,0.868,0.0815,0.0193,0.494,3.0,1.2,-0.1629
FW-075,Racing,2.94,0.6061,1.46,T-Tail,SUCCESS,12096,1152,10944,Conventional,0.625,0.03,1.117,0.0699,0.0478,0.458,3.0,1.2,-0.1319
FW-076,Custom,2.27,0.5489,1.47,V-Tail,SUCCESS,12096,3456,8640,Conventional,0.625,0.03,1.135,0.0731,0.0329,0.468,3.0,1.2,-0.1468
FW-077,Surveillance,1.52,0.2802,0.85,T-Tail,SUCCESS,12096,1152,10944,Conventional,0.625,0.03,0.578,0.0559,0.0221,0.41,3.0,1.2,-0.1465
FW-078,Custom,1.63,0.2639,1.63,Twin Boom,SUCCESS,12096,2688,9408,Conventional,0.624,0.03,1.011,0.0264,0.0128,0.281,3.0,1.2,-0.1771
FW-079,Training,2.1,0.3242,1.3,V-Tail,SUCCESS,12096,3312,8784,Conventional,0.625,0.03,1.05,0.0298,0.0195,0.299,3.0,1.2,-0.1622
FW-080,Custom,1.89,0.5083,1.38,Inverted V-Tail,SUCCESS,12096,5184,6912,Conventional,0.625,0.03,1.172,0.0729,0.0246,0.468,3.0,1.2,-0.1607
FW-081,Agriculture,1.59,0.3479,1.9,Inverted V-Tail,SUCCESS,12096,5184,6912,Conventional,0.626,0.03,0.986,0.0483,0.0168,0.381,3.0,1.2,-0.1704
FW-082,Survey,2.1,0.4639,1.89,Conventional,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,1.302,0.0492,0.0224,0.384,3.0,1.2,-0.1667
FW-083,Research,2.9,0.7887,1.95,V-Tail,SUCCESS,12096,3456,8640,Conventional,0.625,0.03,1.45,0.0925,0.0473,0.527,3.0,1.2,-0.1335
FW-084,Agriculture,2.39,0.3815,1.78,V-Tail,SUCCESS,12096,4896,7200,Conventional,0.625,0.03,1.482,0.0257,0.0185,0.278,3.0,1.2,-0.1736
FW-085,Custom,2.85,0.5097,1.2,V-Tail,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-086,Research,2.99,0.8934,1.22,V-Tail,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-087,Custom,1.42,0.3409,1.51,Inverted V-Tail,SUCCESS,12096,5184,6912,Conventional,0.625,0.03,0.88,0.0581,0.0165,0.417,3.0,1.2,-0.169
FW-088,Mapping,1.84,0.3181,1.08,Twin Boom,SUCCESS,12096,576,11520,Conventional,0.625,0.03,0.699,0.0492,0.0251,0.384,3.0,1.2,-0.1464
FW-089,Research,1.9,0.5405,1.03,Twin Boom,SUCCESS,12096,576,11520,Conventional,0.625,0.03,0.722,0.1331,0.0427,0.632,3.0,1.2,-0.1237
FW-090,Training,1.62,0.3737,1.59,T-Tail,SUCCESS,12096,3456,8640,Conventional,0.624,0.03,1.004,0.0536,0.0181,0.401,3.0,1.2,-0.1689
FW-091,Research,2.85,0.7327,1.43,Inverted V-Tail,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,1.083,0.1087,0.0578,0.571,3.0,1.2,-0.1197
FW-092,Agriculture,1.45,0.2479,0.88,V-Tail,SUCCESS,12096,3456,8640,Conventional,0.624,0.03,0.725,0.0365,0.0149,0.331,3.0,1.2,-0.1635
FW-093,Long Endurance,1.54,0.3199,1.48,Inverted V-Tail,SUCCESS,12096,5184,6912,Conventional,0.625,0.03,0.955,0.0435,0.0155,0.361,3.0,1.2,-0.1723
FW-094,Survey,2.26,0.6715,0.86,V-Tail,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-095,Research,2.51,0.7077,0.87,Conventional,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-096,Custom,1.54,0.3336,0.85,Inverted V-Tail,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,0.585,0.0772,0.0263,0.481,3.0,1.2,-0.1412
FW-097,Research,1.58,0.3665,1.3,Inverted V-Tail,SUCCESS,12096,5184,6912,Conventional,0.624,0.03,0.98,0.0542,0.0177,0.403,3.0,1.2,-0.1691
FW-098,Training,2.99,0.6724,1.27,Inverted V-Tail,FAIL,12096,0,12096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FW-099,Mapping,2.22,0.5075,1.25,Inverted V-Tail,SUCCESS,12096,1728,10368,Conventional,0.625,0.03,0.844,0.086,0.0401,0.508,3.0,1.2,-0.1332
FW-100,Long Endurance,1.53,0.4565,1.09,T-Tail,SUCCESS,12096,2304,9792,Conventional,0.625,0.03,0.765,0.1113,0.0274,0.578,3.0,1.2,-0.1433
