case_id,type,mission_category,payload_kg,payload_power_w,range_km,endurance_min,cruise_speed_kmh,takeoff_method,landing_method,environment,communication_range_km
FW-039,MEDIUM,INSPECTION,2.16,14.6,118.5,50.2,93.9,RUNWAY,RUNWAY,COASTAL,79.1
FW-040,MEDIUM,SECURITY,2.8,46.8,47.1,51.0,87.4,RUNWAY,RUNWAY,RURAL,76.9
FW-041,MEDIUM,INSPECTION,2.25,32.2,89.7,61.8,106.0,RUNWAY,RUNWAY,DESERT,61.8
FW-042,MEDIUM,SECURITY,1.38,22.2,89.8,96.2,99.9,RUNWAY,RUNWAY,COASTAL,70.0
FW-043,MEDIUM,RESEARCH,1.42,41.7,100.7,126.9,82.9,RUNWAY,NET_RECOVERY,RURAL,50.7
FW-044,MEDIUM,INSPECTION,2.92,42.3,96.2,133.9,81.4,CATAPULT,PARACHUTE,COASTAL,38.6
FW-045,MEDIUM,SURVEY,1.29,38.7,34.2,177.8,94.5,RUNWAY,RUNWAY,COASTAL,54.5
FW-046,LARGE,SECURITY,4.54,97.1,109.9,86.6,114.4,RUNWAY,PARACHUTE,RURAL,67.6
FW-047,LARGE,MILITARY,5.07,99.2,57.5,104.9,122.4,RUNWAY,RUNWAY,MOUNTAIN,116.8
FW-048,LARGE,MILITARY,5.38,63.2,192.5,220.5,110.6,RUNWAY,PARACHUTE,RURAL,124.4
FW-049,LARGE,MILITARY,4.04,79.9,87.1,174.8,118.3,RUNWAY,RUNWAY,MOUNTAIN,94.0
FW-050,LARGE,RESEARCH,3.94,79.4,100.4,220.7,84.0,RUNWAY,RUNWAY,MOUNTAIN,119.4
FW-051,LARGE,RESEARCH,3.26,70.9,111.1,157.7,100.8,RUNWAY,PARACHUTE,MOUNTAIN,140.5
FW-052,LARGE,SECURITY,5.78,89.7,178.5,197.8,99.0,RUNWAY,PARACHUTE,MOUNTAIN,125.3
FW-053,LARGE,RESEARCH,6.81,64.0,112.9,194.6,107.3,RUNWAY,PARACHUTE,RURAL,77.3
FW-054,LARGE,MILITARY,4.56,93.5,150.3,203.7,116.2,RUNWAY,RUNWAY,DESERT,103.4
FW-055,LARGE,MILITARY,5.37,52.9,149.4,75.1,101.4,RUNWAY,RUNWAY,RURAL,76.0
FW-056,LARGE,MILITARY,4.82,82.4,100.6,218.3,93.9,RUNWAY,PARACHUTE,RURAL,97.0
FW-057,LARGE,SECURITY,3.21,31.4,192.8,100.4,83.4,RUNWAY,RUNWAY,RURAL,69.9
FW-058,LARGE,RESEARCH,3.61,55.8,68.9,180.5,108.2,RUNWAY,PARACHUTE,DESERT,75.6
FW-059,LARGE,RESEARCH,5.42,95.0,194.6,189.3,118.9,RUNWAY,PARACHUTE,RURAL,107.9
FW-060,LARGE,RESEARCH,5.3,73.9,186.2,127.6,127.1,RUNWAY,RUNWAY,DESERT,119.1
FW-061,LARGE,SECURITY,3.41,76.3,165.9,213.1,110.0,RUNWAY,RUNWAY,MOUNTAIN,103.3
FW-062,LARGE,MILITARY,3.28,74.5,147.1,62.3,101.0,RUNWAY,RUNWAY,MOUNTAIN,146.1
FW-063,LARGE,DISASTER_RESPONSE,6.31,81.2,156.1,138.4,116.7,RUNWAY,PARACHUTE,MOUNTAIN,93.6
FW-064,LARGE,MILITARY,4.07,76.8,177.8,209.5,84.3,RUNWAY,RUNWAY,MOUNTAIN,107.0
FW-065,LARGE,DISASTER_RESPONSE,4.35,71.7,124.1,118.5,104.4,RUNWAY,PARACHUTE,MOUNTAIN,78.0
FW-066,CARGO,DELIVERY,13.8,17.2,96.7,114.7,79.6,RUNWAY,RUNWAY,RURAL,80.4
FW-067,CARGO,DELIVERY,12.58,10.5,112.9,132.2,94.5,RUNWAY,RUNWAY,RURAL,36.5
FW-068,CARGO,DELIVERY,11.92,29.9,66.7,123.5,93.7,RUNWAY,RUNWAY,MARINE,54.1
FW-069,CARGO,DELIVERY,10.5,9.8,72.2,106.3,85.3,RUNWAY,RUNWAY,RURAL,38.4
FW-070,CARGO,DELIVERY,6.2,11.9,94.3,147.9,79.3,RUNWAY,RUNWAY,RURAL,81.7
FW-071,CARGO,DELIVERY,10.9,14.0,121.2,125.6,119.0,RUNWAY,RUNWAY,RURAL,50.7
FW-072,CARGO,DELIVERY,8.02,22.4,115.0,62.1,72.3,RUNWAY,RUNWAY,RURAL,68.7
FW-073,CARGO,DELIVERY,6.26,17.0,134.2,111.3,113.6,RUNWAY,RUNWAY,MARINE,49.9
FW-074,CARGO,DELIVERY,8.41,15.0,145.9,79.1,113.1,RUNWAY,RUNWAY,RURAL,87.5
FW-075,CARGO,DELIVERY,5.74,7.1,105.5,52.2,77.5,RUNWAY,RUNWAY,MARINE,96.4
FW-076,CARGO,DELIVERY,7.48,18.1,97.0,101.2,99.8,RUNWAY,RUNWAY,MARINE,45.8
FW-077,CARGO,DELIVERY,9.51,6.5,83.1,161.1,119.5,RUNWAY,RUNWAY,COASTAL,69.8
FW-078,CARGO,DELIVERY,14.6,8.9,41.9,148.0,101.3,RUNWAY,RUNWAY,COASTAL,76.2
FW-079,CARGO,DELIVERY,6.74,5.8,39.0,45.4,92.5,RUNWAY,RUNWAY,MARINE,62.9
FW-080,CARGO,DELIVERY,7.88,24.7,63.9,161.0,73.6,RUNWAY,RUNWAY,RURAL,94.7
FW-081,LONG_ENDURANCE,SECURITY,3.31,12.1,232.2,348.1,91.3,CATAPULT,PARACHUTE,COASTAL,179.2
FW-082,LONG_ENDURANCE,RESEARCH,1.25,31.0,161.5,314.8,98.5,RUNWAY,PARACHUTE,COASTAL,162.6
FW-083,LONG_ENDURANCE,SURVEY,4.74,12.7,200.1,268.9,74.0,RUNWAY,RUNWAY,DESERT,110.0
FW-084,LONG_ENDURANCE,SECURITY,4.83,29.5,267.2,283.5,117.5,RUNWAY,PARACHUTE,RURAL,136.5
FW-085,LONG_ENDURANCE,RESEARCH,4.62,19.6,136.3,285.4,101.7,CATAPULT,RUNWAY,COASTAL,129.0
FW-086,LONG_ENDURANCE,SECURITY,0.97,17.6,132.2,254.1,94.8,RUNWAY,PARACHUTE,COASTAL,90.6
FW-087,LONG_ENDURANCE,SURVEY,1.02,20.9,254.5,335.7,111.2,RUNWAY,RUNWAY,RURAL,102.5
FW-088,LONG_ENDURANCE,SECURITY,3.9,24.5,225.1,316.8,80.2,CATAPULT,RUNWAY,COASTAL,185.7
FW-089,LONG_ENDURANCE,RESEARCH,0.63,35.2,226.0,323.9,105.5,CATAPULT,RUNWAY,RURAL,107.0
FW-090,LONG_ENDURANCE,SECURITY,1.01,39.4,289.4,296.6,77.7,RUNWAY,RUNWAY,COASTAL,180.2
FW-091,BOUNDARY_STRESS,SURVEY,1.0,5.0,20.0,30.0,40.0,HAND_LAUNCH,BELLY_LANDING,RURAL,15.0
FW-092,BOUNDARY_STRESS,DELIVERY,25.0,20.0,100.0,120.0,110.0,RUNWAY,RUNWAY,RURAL,80.0
FW-093,BOUNDARY_STRESS,RESEARCH,1.0,10.0,150.0,600.0,90.0,RUNWAY,RUNWAY,RURAL,100.0
FW-094,BOUNDARY_STRESS,SECURITY,1.5,15.0,500.0,240.0,130.0,RUNWAY,RUNWAY,RURAL,150.0
FW-095,BOUNDARY_STRESS,SECURITY,2.0,25.0,120.0,60.0,180.0,RUNWAY,RUNWAY,RURAL,100.0
FW-096,BOUNDARY_STRESS,DELIVERY,10.0,10.0,50.0,60.0,70.0,RUNWAY,RUNWAY,RURAL,40.0
FW-097,BOUNDARY_STRESS,RESEARCH,3.0,400.0,60.0,90.0,95.0,RUNWAY,RUNWAY,RURAL,50.0
FW-098,BOUNDARY_STRESS,SURVEY,1.0,10.0,150.0,90.0,90.0,CATAPULT,PARACHUTE,RURAL,50.0
FW-099,BOUNDARY_STRESS,DELIVERY,8.0,15.0,40.0,60.0,65.0,RUNWAY,RUNWAY,RURAL,30.0
FW-100,BOUNDARY_STRESS,SURVEY,5.0,20.0,80.0,90.0,100.0,RUNWAY,RUNWAY,MOUNTAIN,60.0
