case_id,category,mtow_kg,payload_kg,cruise_speed_kmh,success,candidates,feasible,rejected,fc,gps,telemetry,receiver,servo,servo_count,bec,power_module,layout,wire_awg,connector,payload_equipment,power_budget_w,mass_g,redundancy_level,score
FW-011,Custom,9.8,1.8,64.5,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8132
FW-012,Training,6.7,1.0,54.4,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8113
FW-013,Cargo,9.5,1.2,44.0,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,495.5,4,0.8704
FW-014,Training,5.1,0.9,48.6,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,489.0,4,0.8174
FW-015,Mapping,10.4,1.8,46.6,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,Sony RX1R II Survey Camera,20.71,881.5,4,0.8246
FW-016,Mapping,9.7,2.0,52.7,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,Sony RX1R II Survey Camera,20.71,881.5,4,0.8272
FW-017,Custom,8.1,1.1,45.1,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.806
FW-018,Research,5.2,0.9,58.1,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,489.0,4,0.817
FW-019,Racing,9.9,1.6,54.5,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,495.5,4,0.8189
FW-020,Cargo,8.1,1.8,54.6,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.856
FW-021,Survey,11.8,2.3,63.5,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,FLIR Duo Pro R Thermal Camera,34.11,785.5,4,0.829
FW-022,Long Endurance,6.0,1.2,48.6,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8139
FW-023,Training,6.9,0.9,55.8,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8105
FW-024,Racing,12.5,1.8,48.0,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.803
FW-025,Custom,8.0,1.5,45.7,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8064
FW-026,Agriculture,8.7,1.7,49.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT60 Connector,Heavy Sprayer Valve & Servo,34.36,618.8,4,0.8627
FW-027,Surveillance,5.8,0.7,41.8,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8146
FW-028,Training,6.1,1.3,49.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8135
FW-029,Custom,13.8,2.1,50.1,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.7982
FW-030,Racing,9.4,1.4,67.7,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8147
FW-031,Research,9.0,1.8,53.1,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,492.8,4,0.8225
FW-032,Survey,3.7,0.7,48.2,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,FLIR Duo Pro R Thermal Camera,22.71,588.0,4,0.846
FW-033,Mapping,6.2,0.8,53.8,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,Sony RX1R II Survey Camera,20.71,876.8,4,0.8207
FW-034,Training,4.9,0.7,60.7,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,489.0,4,0.8182
FW-035,Mapping,13.2,2.8,66.5,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,Sony RX1R II Survey Camera,32.11,1072.5,4,0.808
FW-036,Cargo,17.0,2.7,44.4,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM06 100A Module,Dual Redundant Bus,12,XT90 Connector,GoPro Hero 11 FPV Camera,29.76,705.0,4,0.882
FW-037,Survey,8.3,1.2,63.2,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT60 Connector,FLIR Duo Pro R Thermal Camera,22.71,591.8,4,0.8485
FW-038,Custom,10.2,1.2,55.1,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8117
FW-039,Cargo,7.0,1.4,44.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8601
FW-040,Long Endurance,8.1,1.2,50.5,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.806
FW-041,Cargo,4.2,0.7,56.8,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,489.0,4,0.8708
FW-042,Surveillance,11.0,1.9,47.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,495.5,4,0.8148
FW-043,Training,5.3,0.8,54.1,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8165
FW-044,Cargo,4.1,0.5,46.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,489.0,4,0.8712
FW-045,Racing,5.7,1.0,58.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.815
FW-046,Agriculture,6.8,1.0,55.8,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,Heavy Sprayer Valve & Servo,34.36,616.8,4,0.8499
FW-047,Custom,12.9,2.5,48.7,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8015
FW-048,Long Endurance,10.6,1.3,39.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,495.5,4,0.8163
FW-049,Cargo,15.8,2.0,61.1,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM06 100A Module,Dual Redundant Bus,12,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,701.0,4,0.8837
FW-050,Research,4.5,0.9,51.4,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,489.0,4,0.8197
FW-051,Cargo,14.3,2.6,43.4,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8463
FW-052,Cargo,11.2,2.3,69.0,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8579
FW-053,Cargo,11.4,2.3,49.0,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8572
FW-054,Mapping,5.4,1.0,48.6,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,Sony RX1R II Survey Camera,20.71,876.8,4,0.8237
FW-055,Surveillance,8.9,1.6,51.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,492.8,4,0.8229
FW-056,Surveillance,10.0,1.5,46.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,495.5,4,0.8185
FW-057,Mapping,5.2,1.0,57.1,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,Sony RX1R II Survey Camera,20.71,875.0,4,0.8246
FW-058,Cargo,13.3,1.7,52.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.85
FW-059,Mapping,12.1,2.6,55.7,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,Sony RX1R II Survey Camera,32.11,1072.5,4,0.8121
FW-060,Surveillance,8.9,1.9,47.1,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,492.8,4,0.8229
FW-061,Cargo,10.5,2.2,56.6,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8605
FW-062,Surveillance,7.1,0.9,48.5,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8098
FW-063,Racing,10.0,2.0,55.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8124
FW-064,Custom,7.7,1.5,60.4,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8075
FW-065,Training,7.9,1.3,52.7,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8068
FW-066,Racing,8.7,1.1,51.2,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT60 Connector,GoPro Hero 11 FPV Camera,18.36,492.8,4,0.8236
FW-067,Racing,7.3,1.5,58.8,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.809
FW-068,Survey,10.5,1.5,45.9,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,FLIR Duo Pro R Thermal Camera,22.71,594.5,4,0.84
FW-069,Cargo,4.0,0.6,56.6,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,18,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,489.0,4,0.8715
FW-070,Survey,10.8,2.1,70.6,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,FLIR Duo Pro R Thermal Camera,34.11,785.5,4,0.8327
FW-071,Racing,8.7,1.7,69.5,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,683.8,4,0.8175
FW-072,Surveillance,6.7,0.9,53.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8113
FW-073,Surveillance,8.1,1.0,56.7,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.806
FW-074,Agriculture,6.4,1.1,52.5,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,Heavy Sprayer Valve & Servo,34.36,616.8,4,0.8514
FW-075,Mapping,5.8,0.7,47.2,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,Sony RX1R II Survey Camera,20.71,876.8,4,0.8222
FW-076,Survey,8.6,1.8,59.0,SUCCESS,8,8,0,Cube Orange+,CubePilot Here3 RTK,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT60 Connector,FLIR Duo Pro R Thermal Camera,22.71,591.8,4,0.8473
FW-077,Research,5.6,0.8,42.9,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,16,XT30 Connector,GoPro Hero 11 FPV Camera,18.36,490.8,4,0.8154
FW-078,Agriculture,10.2,1.3,49.3,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST DS125MG Wing Servo,4,Matek 6A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,Heavy Sprayer Valve & Servo,34.36,621.5,4,0.8568
FW-079,Long Endurance,10.6,1.9,53.2,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8102
FW-080,Surveillance,9.5,1.3,59.1,SUCCESS,8,8,0,Cube Orange+,Holybro Micro M8N,RFDesign RFD900ux,ExpressLRS 915M RX,KST X20 High-Torque Servo,4,Castle Pro 20A BEC,Holybro PM02 30A Module,Dual Redundant Bus,14,XT60 Connector,GoPro Hero 11 FPV Camera,29.76,686.5,4,0.8143
