case_id,category,target_limit_kg,success,candidates,feasible,rejected,empty_weight,operating_weight,mtow,payload_frac,battery_frac,struct_frac,mass_conserved,Ixx,Iyy,Izz,score
FW-016,Custom,8.1,SUCCESS,24,24,0,4.654,5.454,7.454,0.268,0.107,0.436,YES,0.0143,0.3073,0.293,0.7137
FW-017,Racing,14.7,SUCCESS,24,24,0,6.324,7.124,9.124,0.219,0.088,0.519,YES,0.0203,0.4795,0.4592,0.682
FW-018,Mapping,15.5,SUCCESS,24,24,0,5.438,6.238,8.238,0.243,0.097,0.48,YES,0.0206,0.2253,0.2047,0.7079
FW-019,Surveillance,27.6,SUCCESS,24,24,0,7.459,8.959,10.959,0.182,0.137,0.526,YES,0.0315,0.3166,0.2851,0.6828
FW-020,Agriculture,8.2,SUCCESS,24,24,0,4.878,5.678,7.678,0.26,0.104,0.449,YES,0.0142,0.4183,0.4041,0.706
FW-021,Training,9.1,SUCCESS,24,24,0,5.399,6.199,8.199,0.244,0.098,0.477,YES,0.0144,0.642,0.6277,0.6894
FW-022,Research,21.3,SUCCESS,24,24,0,6.343,7.143,9.143,0.219,0.087,0.521,YES,0.0259,0.2541,0.2283,0.7017
FW-023,Research,9.1,SUCCESS,24,24,0,4.055,4.855,6.855,0.292,0.117,0.397,YES,0.0142,0.1709,0.1567,0.7356
FW-024,Research,17.2,SUCCESS,24,24,0,6.76,7.56,9.56,0.209,0.084,0.536,YES,0.0229,0.3994,0.3766,0.6818
FW-025,Training,16.0,SUCCESS,24,24,0,6.406,7.206,9.206,0.217,0.087,0.523,YES,0.0213,0.5408,0.5194,0.6854
FW-026,Agriculture,18.9,SUCCESS,24,24,0,6.098,6.898,8.898,0.225,0.09,0.511,YES,0.0237,0.2949,0.2712,0.7015
FW-027,Mapping,16.2,SUCCESS,24,24,0,5.2,6.0,8.0,0.25,0.1,0.468,YES,0.0211,0.2016,0.1805,0.7167
FW-028,Mapping,16.2,SUCCESS,24,24,0,6.187,6.987,8.987,0.223,0.089,0.514,YES,0.0213,0.4877,0.4664,0.6915
FW-029,Long Endurance,14.2,SUCCESS,24,24,0,6.763,7.563,9.563,0.209,0.084,0.536,YES,0.0202,0.6089,0.5888,0.6694
FW-030,Survey,11.7,SUCCESS,24,24,0,4.62,5.42,7.42,0.27,0.108,0.434,YES,0.0149,0.1976,0.1827,0.7175
FW-031,Training,19.8,SUCCESS,24,24,0,6.173,6.973,8.973,0.223,0.089,0.514,YES,0.0249,0.2295,0.2046,0.702
FW-032,Training,10.5,SUCCESS,24,24,0,4.449,5.249,7.249,0.276,0.11,0.424,YES,0.0143,0.2131,0.1987,0.721
FW-033,Racing,22.6,SUCCESS,24,24,0,7.374,8.874,10.874,0.184,0.138,0.522,YES,0.0272,0.6546,0.6274,0.6758
FW-034,Research,9.6,SUCCESS,24,24,0,4.626,5.426,7.426,0.269,0.108,0.435,YES,0.0144,0.2531,0.2387,0.7145
FW-035,Long Endurance,21.8,SUCCESS,24,24,0,7.444,8.244,10.244,0.195,0.078,0.56,YES,0.0267,0.625,0.5983,0.681
FW-036,Racing,14.9,SUCCESS,24,24,0,5.447,6.247,8.247,0.243,0.097,0.481,YES,0.0203,0.2131,0.1928,0.7056
FW-037,Research,15.1,SUCCESS,24,24,0,6.701,7.501,9.501,0.211,0.084,0.534,YES,0.021,0.504,0.483,0.6754
FW-038,Surveillance,11.7,SUCCESS,24,24,0,4.659,5.459,7.459,0.268,0.107,0.437,YES,0.0147,0.2433,0.2286,0.7159
FW-039,Custom,12.9,SUCCESS,24,24,0,5.058,5.858,7.858,0.255,0.102,0.46,YES,0.0182,0.2322,0.214,0.7089
FW-040,Mapping,17.1,SUCCESS,24,24,0,6.696,7.496,9.496,0.211,0.084,0.534,YES,0.0226,0.4699,0.4474,0.683
FW-041,Mapping,7.8,SUCCESS,24,24,0,4.563,5.363,7.363,0.272,0.109,0.431,YES,0.0143,0.245,0.2306,0.717
FW-042,Survey,6.0,SUCCESS,24,24,0,3.975,4.425,6.425,0.311,0.07,0.413,YES,0.014,0.1855,0.1716,0.7489
FW-043,Long Endurance,17.2,SUCCESS,24,24,0,6.171,6.971,8.971,0.223,0.089,0.513,YES,0.0224,0.3582,0.3358,0.6952
FW-044,Racing,9.4,SUCCESS,24,24,0,4.366,5.166,7.166,0.279,0.112,0.418,YES,0.0142,0.2226,0.2084,0.7239
FW-045,Racing,12.3,SUCCESS,24,24,0,5.92,6.72,8.72,0.229,0.092,0.502,YES,0.0178,0.6042,0.5863,0.6803
FW-046,Racing,11.4,SUCCESS,24,24,0,5.128,5.928,7.928,0.252,0.101,0.463,YES,0.0148,0.2771,0.2623,0.6987
FW-047,Custom,6.8,SUCCESS,24,24,0,4.051,4.501,6.501,0.308,0.069,0.418,YES,0.0142,0.1653,0.1511,0.7461
FW-048,Racing,20.5,SUCCESS,24,24,0,7.638,8.438,10.438,0.192,0.077,0.566,YES,0.026,0.5992,0.5732,0.6746
FW-049,Agriculture,7.9,SUCCESS,24,24,0,4.374,5.174,7.174,0.279,0.112,0.419,YES,0.0143,0.2023,0.188,0.7236
FW-050,Cargo,7.9,SUCCESS,24,24,0,4.42,5.22,7.22,0.277,0.111,0.422,YES,0.0143,0.2209,0.2066,0.7219
FW-051,Custom,14.7,SUCCESS,24,24,0,5.94,6.74,8.74,0.229,0.092,0.503,YES,0.0202,0.3254,0.3052,0.6917
FW-052,Racing,29.1,SUCCESS,24,24,0,7.641,9.141,11.141,0.18,0.135,0.532,YES,0.0326,0.3577,0.325,0.6826
FW-053,Racing,15.9,SUCCESS,24,24,0,6.442,7.242,9.242,0.216,0.087,0.524,YES,0.0216,0.3532,0.3316,0.684
FW-054,Research,11.7,SUCCESS,24,24,0,5.331,6.131,8.131,0.246,0.098,0.473,YES,0.0148,0.4809,0.4661,0.6944
FW-055,Long Endurance,20.0,SUCCESS,24,24,0,6.456,7.256,9.256,0.216,0.086,0.525,YES,0.025,0.271,0.246,0.6962
FW-056,Survey,8.7,SUCCESS,24,24,0,4.432,5.232,7.232,0.277,0.111,0.423,YES,0.0145,0.1897,0.1752,0.7216
FW-057,Agriculture,15.1,SUCCESS,24,24,0,6.192,6.992,8.992,0.222,0.089,0.514,YES,0.0206,0.4389,0.4183,0.687
FW-058,Cargo,13.5,SUCCESS,24,24,0,5.915,6.715,8.715,0.229,0.092,0.502,YES,0.0192,0.3383,0.3191,0.6868
FW-059,Cargo,8.9,SUCCESS,24,24,0,5.219,6.019,8.019,0.249,0.1,0.468,YES,0.0144,0.5009,0.4865,0.6948
FW-060,Mapping,9.8,SUCCESS,24,24,0,5.302,6.102,8.102,0.247,0.099,0.472,YES,0.0146,0.408,0.3934,0.6925
FW-061,Research,18.8,SUCCESS,24,24,0,6.917,7.717,9.717,0.206,0.082,0.542,YES,0.024,0.5482,0.5243,0.6835
FW-062,Long Endurance,17.7,SUCCESS,24,24,0,5.485,6.285,8.285,0.241,0.097,0.483,YES,0.0225,0.2089,0.1864,0.7129
FW-063,Surveillance,7.8,SUCCESS,24,24,0,5.132,5.932,7.932,0.252,0.101,0.463,YES,0.0145,0.4012,0.3867,0.6978
FW-064,Survey,19.8,SUCCESS,24,24,0,6.284,7.084,9.084,0.22,0.088,0.518,YES,0.0248,0.2473,0.2226,0.6995
FW-065,Racing,13.2,SUCCESS,24,24,0,4.953,5.753,7.753,0.258,0.103,0.455,YES,0.0186,0.1968,0.1783,0.7132
FW-066,Agriculture,6.3,SUCCESS,24,24,0,3.951,4.401,6.401,0.312,0.07,0.411,YES,0.0141,0.1633,0.1493,0.75
FW-067,Mapping,15.0,SUCCESS,24,24,0,6.154,6.954,8.954,0.223,0.089,0.512,YES,0.0203,0.5532,0.533,0.6875
FW-068,Training,9.0,SUCCESS,24,24,0,4.182,4.982,6.982,0.286,0.115,0.406,YES,0.0143,0.1759,0.1616,0.7305
FW-069,Long Endurance,14.5,SUCCESS,24,24,0,6.852,7.652,9.652,0.207,0.083,0.539,YES,0.0204,0.7018,0.6814,0.6689
FW-070,Survey,8.9,SUCCESS,24,24,0,5.609,6.409,8.409,0.238,0.095,0.487,YES,0.0146,0.5802,0.5655,0.6831
FW-071,Training,11.4,SUCCESS,24,24,0,5.319,6.119,8.119,0.246,0.099,0.473,YES,0.0148,0.3411,0.3263,0.6926
FW-072,Surveillance,10.2,SUCCESS,24,24,0,5.012,5.812,7.812,0.256,0.102,0.457,YES,0.0147,0.2579,0.2432,0.7017
FW-073,Research,13.6,SUCCESS,24,24,0,6.621,7.421,9.421,0.212,0.085,0.53,YES,0.0195,0.6596,0.6401,0.6698
FW-074,Training,15.9,SUCCESS,24,24,0,6.083,6.883,8.883,0.225,0.09,0.51,YES,0.021,0.4521,0.4311,0.6928
FW-075,Research,18.8,SUCCESS,24,24,0,5.722,6.522,8.522,0.235,0.094,0.494,YES,0.0236,0.2151,0.1915,0.71
FW-076,Mapping,13.8,SUCCESS,24,24,0,6.032,6.832,8.832,0.226,0.091,0.507,YES,0.0194,0.4171,0.3977,0.6851
FW-077,Survey,16.6,SUCCESS,24,24,0,5.518,6.318,8.318,0.24,0.096,0.484,YES,0.0217,0.2139,0.1922,0.7093
FW-078,Mapping,30.0,SUCCESS,24,24,0,7.23,8.73,10.73,0.186,0.14,0.518,YES,0.0331,0.2535,0.2204,0.6895
FW-079,Surveillance,16.2,SUCCESS,24,24,0,5.131,5.931,7.931,0.252,0.101,0.465,YES,0.0209,0.2042,0.1833,0.7184
FW-080,Mapping,6.0,SUCCESS,24,24,0,4.074,4.524,6.524,0.307,0.069,0.42,YES,0.014,0.2098,0.1958,0.7451
FW-081,Agriculture,21.0,SUCCESS,24,24,0,6.447,7.247,9.247,0.216,0.087,0.525,YES,0.0261,0.2342,0.2081,0.6986
FW-082,Mapping,12.5,SUCCESS,24,24,0,5.524,6.324,8.324,0.24,0.096,0.484,YES,0.018,0.316,0.298,0.6924
FW-083,Mapping,12.0,SUCCESS,24,24,0,4.188,4.988,6.988,0.286,0.114,0.407,YES,0.0148,0.1712,0.1564,0.7339
FW-084,Mapping,7.9,SUCCESS,24,24,0,5.071,5.871,7.871,0.254,0.102,0.46,YES,0.0143,0.5142,0.4999,0.6997
FW-085,Racing,7.9,SUCCESS,24,24,0,5.386,6.186,8.186,0.244,0.098,0.476,YES,0.0146,0.4952,0.4807,0.6897
FW-086,Racing,15.0,SUCCESS,24,24,0,6.127,6.927,8.927,0.224,0.09,0.511,YES,0.0204,0.4645,0.4441,0.6882
FW-087,Surveillance,20.4,SUCCESS,24,24,0,6.458,7.258,9.258,0.216,0.086,0.525,YES,0.0252,0.3107,0.2855,0.6973
FW-088,Survey,9.1,SUCCESS,24,24,0,4.611,5.411,7.411,0.27,0.108,0.434,YES,0.0146,0.1995,0.1849,0.7152
FW-089,Long Endurance,7.2,SUCCESS,24,24,0,4.455,4.905,6.905,0.29,0.065,0.445,YES,0.0142,0.2392,0.225,0.7301
FW-090,Survey,14.2,SUCCESS,24,24,0,5.926,6.726,8.726,0.229,0.092,0.502,YES,0.0196,0.4495,0.4299,0.6901
FW-091,Cargo,15.9,SUCCESS,24,24,0,5.548,6.348,8.348,0.24,0.096,0.486,YES,0.0211,0.2209,0.1998,0.7064
FW-092,Agriculture,12.5,SUCCESS,24,24,0,5.618,6.418,8.418,0.238,0.095,0.488,YES,0.0178,0.4936,0.4758,0.6901
FW-093,Agriculture,12.8,SUCCESS,24,24,0,5.898,6.698,8.698,0.23,0.092,0.501,YES,0.0182,0.5561,0.5379,0.6837
FW-094,Training,21.0,SUCCESS,24,24,0,6.303,7.103,9.103,0.22,0.088,0.519,YES,0.0256,0.264,0.2384,0.7018
FW-095,Agriculture,18.9,SUCCESS,24,24,0,5.803,6.603,8.603,0.232,0.093,0.498,YES,0.0236,0.233,0.2094,0.7081
FW-096,Custom,13.8,SUCCESS,24,24,0,6.133,6.933,8.933,0.224,0.09,0.511,YES,0.0193,0.5211,0.5018,0.6828
FW-097,Training,12.5,SUCCESS,24,24,0,4.936,5.736,7.736,0.259,0.103,0.453,YES,0.0178,0.2098,0.192,0.7107
FW-098,Agriculture,14.2,SUCCESS,24,24,0,6.763,7.563,9.563,0.209,0.084,0.536,YES,0.02,0.6997,0.6797,0.6694
FW-099,Cargo,12.5,SUCCESS,24,24,0,5.939,6.739,8.739,0.229,0.092,0.503,YES,0.0181,0.5036,0.4855,0.6808
FW-100,Surveillance,6.9,SUCCESS,24,24,0,5.021,5.471,7.471,0.268,0.06,0.479,YES,0.0143,0.4499,0.4357,0.7094
