case_id,category,wingspan_m,mtow_kg,payload_kg,cruise_speed_kmh,success,candidates,feasible,rejected,motor,propeller,esc,battery,voltage_v,cruise_current_a,climb_current_a,static_thrust_n,cruise_power_w,endurance_min,score
FW-032,Racing,2.43,11.5,2.2,46.1,SUCCESS,411,125,286,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 5000mAh 40C Pack,45.6,4.03,20.24,115.26,183.6,59.6,0.7703
FW-033,Research,1.72,10.3,1.6,61.9,SUCCESS,411,145,266,T-Motor AT4120,14x10 APC,80A BLHeli_32,Li-Ion 6S 10000mAh 15C Pack,21.6,10.22,39.46,53.95,220.8,47.0,0.5096
FW-034,Research,1.56,3.7,0.5,55.9,SUCCESS,411,248,163,T-Motor AT4120,12x6 APC,80A BLHeli_32,Li-Ion 6S 10000mAh 15C Pack,21.6,3.31,13.83,48.68,71.6,144.8,0.7983
FW-035,Agriculture,1.25,4.6,0.7,44.0,SUCCESS,411,304,107,T-Motor AT4120,12x6 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,3.07,15.95,48.68,70.1,156.1,0.7926
FW-036,Racing,1.25,7.0,1.4,42.7,SUCCESS,411,293,118,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,2.4,12.82,115.26,103.5,160.3,0.8153
FW-037,Racing,2.06,7.6,1.6,57.1,SUCCESS,411,280,131,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 5000mAh 40C Pack,45.6,3.3,13.48,115.26,150.3,72.8,0.7952
FW-038,Racing,2.68,7.6,1.6,52.4,SUCCESS,411,280,131,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 5000mAh 40C Pack,45.6,3.02,13.55,115.26,137.9,79.4,0.7979
FW-039,Survey,2.95,16.3,2.6,70.1,SUCCESS,411,43,368,KDE Direct 7215XF,22x12 APC,80A BLHeli_32,LiHV 12S 16000mAh 40C Pack,45.6,8.68,29.73,131.76,395.6,88.5,0.5393
FW-040,Cargo,2.21,7.7,1.3,65.9,SUCCESS,411,224,187,T-Motor AT4120,15x10 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,7.71,27.79,56.49,175.7,20.6,0.6649
FW-041,Custom,1.76,4.2,0.7,62.6,SUCCESS,411,338,73,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,2.11,8.08,115.26,91.0,182.3,0.8218
FW-042,Surveillance,2.63,13.1,1.8,66.1,SUCCESS,411,50,361,T-Motor AT4120,15x10 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,13.15,47.06,56.49,299.8,12.0,0.4352
FW-043,Survey,2.16,8.1,1.3,61.6,SUCCESS,411,224,187,T-Motor AT4120,15x10 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,7.58,28.71,56.49,172.8,63.3,0.5533
FW-044,Long Endurance,2.94,9.4,1.4,60.7,SUCCESS,411,155,256,T-Motor AT4120,15x10 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,8.67,33.75,56.49,197.6,55.4,0.5125
FW-045,Cargo,1.49,6.7,0.9,50.8,SUCCESS,411,259,152,T-Motor AT4120,15x10 APC,80A BLHeli_32,Li-Ion 6S 10000mAh 15C Pack,21.6,5.46,25.42,56.49,117.9,87.9,0.7571
FW-046,Custom,2.37,14.1,2.9,57.8,SUCCESS,411,83,328,KDE Direct 7215XF,20x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,6.53,26.37,123.65,282.2,117.6,0.6368
FW-047,Survey,1.52,6.4,1.3,49.0,SUCCESS,411,315,96,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,2.51,12.05,115.26,108.6,190.9,0.8275
FW-048,Research,1.31,4.1,0.5,45.5,SUCCESS,411,349,62,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,1.5,7.56,115.26,64.6,256.8,0.8251
FW-049,Mapping,1.89,10.1,1.3,59.1,SUCCESS,411,155,256,T-Motor AT4120,15x10 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,9.07,35.75,56.49,206.7,52.9,0.4975
FW-050,Training,2.85,12.4,2.5,52.0,SUCCESS,411,83,328,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,5.17,22.77,115.26,223.3,148.6,0.685
FW-051,Long Endurance,1.79,8.3,1.7,47.7,SUCCESS,411,280,131,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,3.17,15.38,115.26,137.1,242.0,0.7898
FW-052,Training,1.6,7.0,1.4,47.1,SUCCESS,411,315,96,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,2.64,12.96,115.26,114.2,181.6,0.794
FW-053,Custom,2.38,6.8,1.4,47.9,SUCCESS,411,315,96,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,2.61,12.64,115.26,112.8,183.8,0.7949
FW-054,Agriculture,1.62,7.6,1.3,45.5,SUCCESS,411,168,243,T-Motor AT4120,14x10 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,5.25,26.69,53.95,119.7,91.4,0.6187
FW-055,Research,2.41,10.9,2.2,64.9,SUCCESS,411,167,244,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,5.67,20.95,115.26,244.9,135.5,0.6735
FW-056,Racing,2.13,7.9,1.1,52.5,SUCCESS,411,114,297,T-Motor AT4120,13x8 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,6.3,27.49,51.35,143.6,25.1,0.6698
FW-057,Long Endurance,1.8,7.9,1.7,44.8,SUCCESS,411,280,131,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 10000mAh 40C Pack,45.6,2.69,13.82,115.26,122.5,178.7,0.8027
FW-058,Cargo,2.35,12.1,2.4,56.1,SUCCESS,411,50,361,T-Motor AT4120,15x10 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,10.31,42.82,56.49,235.0,15.4,0.4543
FW-059,Research,1.34,4.8,0.7,48.4,SUCCESS,411,147,264,T-Motor AT4120,12x6 APC,80A BLHeli_32,Li-Ion 6S 10000mAh 15C Pack,21.6,3.72,17.57,48.68,80.4,129.0,0.7696
FW-060,Custom,2.41,11.2,2.0,41.4,SUCCESS,411,103,308,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,3.72,20.38,115.26,160.6,206.6,0.7308
FW-061,Surveillance,1.28,6.7,1.1,54.6,SUCCESS,411,236,175,T-Motor AT4120,15x10 APC,80A BLHeli_32,Li-Ion 6S 10000mAh 15C Pack,21.6,5.87,25.28,56.49,126.7,81.8,0.6879
FW-062,Research,2.29,6.0,1.0,49.2,SUCCESS,411,315,96,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,2.37,10.84,115.26,102.2,202.9,0.8003
FW-063,Agriculture,2.71,12.2,1.8,60.2,SUCCESS,411,61,350,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 16000mAh 40C Pack,45.6,5.58,21.68,115.26,254.3,137.7,0.6711
FW-064,Mapping,2.51,13.3,2.9,61.4,SUCCESS,411,61,350,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 16000mAh 40C Pack,45.6,6.2,23.69,115.26,282.8,123.8,0.6368
FW-065,Racing,2.27,7.2,1.3,63.5,SUCCESS,411,252,159,T-Motor AT4120,15x10 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,6.94,25.96,56.49,158.3,22.8,0.7551
FW-066,Racing,2.14,6.9,1.1,48.9,SUCCESS,411,304,107,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,2.7,12.62,115.26,116.8,142.0,0.8094
FW-067,Racing,1.43,5.4,0.7,62.6,SUCCESS,411,315,96,T-Motor AT4120,12x6 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,5.14,19.32,48.68,117.1,30.8,0.8252
FW-068,Research,2.99,9.3,1.6,66.5,SUCCESS,411,166,245,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,4.96,17.91,115.26,214.1,155.0,0.7053
FW-069,Long Endurance,2.64,15.3,2.3,54.7,SUCCESS,411,53,358,KDE Direct 7215XF,22x12 APC,80A BLHeli_32,LiHV 12S 16000mAh 40C Pack,45.6,6.36,26.68,131.76,289.8,120.8,0.6227
FW-070,Long Endurance,1.68,5.9,0.7,43.8,SUCCESS,411,293,118,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,2.07,10.78,115.26,89.5,185.3,0.8413
FW-071,Custom,2.08,8.1,1.4,56.9,SUCCESS,411,201,210,T-Motor AT4120,15x10 APC,80A BLHeli_32,Li-Ion 6S 10000mAh 15C Pack,21.6,7.39,30.16,56.49,159.6,65.0,0.6107
FW-072,Long Endurance,2.82,6.9,1.1,63.3,SUCCESS,411,293,118,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,3.5,13.17,115.26,151.2,219.4,0.7944
FW-073,Agriculture,1.79,4.1,0.8,53.0,SUCCESS,411,360,51,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,1.74,7.5,115.26,75.2,220.6,0.8508
FW-074,Cargo,1.6,10.6,1.7,57.7,SUCCESS,411,124,287,T-Motor AT4120,14x10 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,9.29,37.29,53.95,211.8,17.1,0.4987
FW-075,Cargo,2.94,13.7,1.8,65.1,SUCCESS,411,83,328,KDE Direct 7215XF,20x10 APC,80A BLHeli_32,LiHV 12S 5000mAh 40C Pack,45.6,6.77,24.86,123.65,308.8,35.4,0.7156
FW-076,Mapping,2.56,7.6,1.1,58.4,SUCCESS,411,269,142,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,3.56,14.12,115.26,153.7,215.9,0.7918
FW-077,Surveillance,1.25,7.6,1.1,44.9,SUCCESS,411,280,131,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,2.74,14.05,115.26,118.2,175.4,0.7857
FW-078,Racing,2.03,5.7,0.8,47.2,SUCCESS,411,315,96,T-Motor AT4120,13x8 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,4.09,19.78,51.35,93.2,38.8,0.8281
FW-079,Surveillance,2.3,9.0,1.3,56.7,SUCCESS,411,177,234,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,4.09,17.0,115.26,176.7,187.8,0.7383
FW-080,Research,2.18,12.3,1.8,40.8,SUCCESS,411,83,328,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,4.02,22.31,115.26,173.8,190.9,0.7248
FW-081,Racing,2.86,12.7,2.1,46.7,SUCCESS,411,72,339,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 5000mAh 40C Pack,45.6,4.5,22.41,115.26,205.4,53.3,0.7608
FW-082,Research,1.44,3.9,0.8,51.8,SUCCESS,411,338,73,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,1.62,7.4,115.26,70.0,237.0,0.8251
FW-083,Custom,2.14,8.1,1.7,52.2,SUCCESS,411,224,187,T-Motor AT4120,15x10 APC,80A BLHeli_32,Li-Ion 6S 10000mAh 15C Pack,21.6,6.78,29.7,56.49,146.4,70.8,0.6194
FW-084,Training,2.44,9.0,1.5,54.7,SUCCESS,411,188,223,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 16000mAh 15C Pack,43.2,3.95,16.9,115.26,170.5,194.6,0.7391
FW-085,Mapping,2.26,12.1,1.9,45.2,SUCCESS,411,20,391,T-Motor AT4120,12x6 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,8.31,41.44,48.68,189.4,57.8,0.4771
FW-086,Long Endurance,1.73,10.3,1.8,56.4,SUCCESS,411,188,223,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 16000mAh 40C Pack,45.6,4.41,18.02,115.26,201.2,174.1,0.7552
FW-087,Long Endurance,2.92,7.2,1.0,46.9,SUCCESS,411,196,215,T-Motor AT4120,14x10 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,5.13,25.3,53.95,116.9,93.6,0.6309
FW-088,Mapping,2.65,7.8,1.5,45.0,SUCCESS,411,201,210,T-Motor AT4120,15x10 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,5.33,26.96,56.49,121.5,90.1,0.6166
FW-089,Research,1.35,5.2,1.0,60.9,SUCCESS,411,203,208,T-Motor AT4120,12x6 APC,80A BLHeli_32,Li-Ion 6S 10000mAh 15C Pack,21.6,5.08,19.48,48.68,109.7,94.5,0.7238
FW-090,Racing,2.4,8.8,1.9,49.4,SUCCESS,411,188,223,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 5000mAh 40C Pack,45.6,3.3,15.69,115.26,150.5,72.7,0.7891
FW-091,Cargo,2.37,13.5,2.0,46.6,SUCCESS,411,30,381,T-Motor AT4120,13x8 APC,80A BLHeli_32,LiHV 6S 3300mAh 40C Pack,22.8,9.55,46.15,51.35,217.8,16.6,0.3946
FW-092,Survey,2.05,5.9,1.1,51.6,SUCCESS,411,315,96,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,2.44,11.07,115.26,105.4,196.7,0.8303
FW-093,Survey,2.18,5.6,0.9,54.2,SUCCESS,411,149,262,T-Motor AT4120,12x6 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,4.61,19.87,48.68,105.1,104.1,0.6779
FW-094,Custom,1.52,4.8,0.7,51.7,SUCCESS,411,293,118,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,1.99,9.05,115.26,85.9,193.1,0.8197
FW-095,Mapping,1.23,3.9,0.7,53.5,SUCCESS,411,360,51,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 8000mAh 15C Pack,43.2,1.67,7.15,115.26,72.2,229.8,0.8519
FW-096,Long Endurance,2.44,6.5,1.0,62.4,SUCCESS,411,203,208,T-Motor AT4120,14x10 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,6.16,23.7,53.95,140.4,77.9,0.611
FW-097,Surveillance,2.41,9.8,1.2,44.4,SUCCESS,411,114,297,T-Motor AT4120,13x8 APC,80A BLHeli_32,Li-Ion 6S 10000mAh 15C Pack,21.6,6.98,35.96,51.35,150.7,68.8,0.5489
FW-098,Cargo,2.9,10.4,2.0,39.5,SUCCESS,411,167,244,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,Li-Ion 12S 10000mAh 15C Pack,43.2,3.29,18.76,115.26,142.2,145.8,0.7786
FW-099,Long Endurance,2.49,13.3,2.4,56.3,SUCCESS,411,61,350,KDE Direct 7215XF,18x10 APC,80A BLHeli_32,LiHV 12S 16000mAh 40C Pack,45.6,5.69,23.51,115.26,259.3,135.1,0.6609
FW-100,Mapping,1.32,4.7,0.6,62.6,SUCCESS,411,203,208,T-Motor AT4120,12x6 APC,80A BLHeli_32,LiHV 6S 10000mAh 40C Pack,22.8,4.47,16.74,48.68,101.9,107.4,0.6933
