case_id,category,fuse_length,success,candidates,feasible,rejected,cg_x,np_x,static_margin,battery_x,payload_x,avionics_x,score
FW-031,Agriculture,1.87,SUCCESS,384,28,356,0.834,0.864,0.146,0.799,0.885,0.636,0.868
FW-032,Training,1.3,SUCCESS,384,19,365,0.509,0.532,0.155,0.419,0.342,0.51,0.849
FW-033,Mapping,1.88,SUCCESS,384,40,344,0.829,0.855,0.155,0.738,0.889,0.442,0.676
FW-034,Research,1.14,SUCCESS,384,21,363,0.439,0.46,0.145,0.328,0.38,0.268,0.896
FW-035,Survey,1.23,SUCCESS,384,43,341,0.483,0.506,0.144,0.483,0.41,0.289,0.832
FW-036,Agriculture,1.39,SUCCESS,384,30,354,0.562,0.588,0.147,0.594,0.512,0.327,0.87
FW-037,Survey,1.61,SUCCESS,384,29,355,0.667,0.689,0.153,0.801,0.536,0.463,0.775
FW-038,Research,1.33,SUCCESS,384,42,342,0.531,0.558,0.156,0.429,0.489,0.382,0.905
FW-039,Survey,1.07,SUCCESS,384,60,324,0.424,0.456,0.153,0.495,0.356,0.308,0.805
FW-040,Racing,1.17,SUCCESS,384,65,319,0.469,0.499,0.146,0.5,0.39,0.336,0.869
FW-041,Custom,1.04,SUCCESS,384,59,325,0.417,0.45,0.148,0.445,0.383,0.299,0.891
FW-042,Racing,1.05,SUCCESS,384,53,331,0.424,0.462,0.157,0.375,0.423,0.302,0.879
FW-043,Long Endurance,1.92,SUCCESS,384,26,358,0.854,0.879,0.154,0.821,0.908,0.552,0.857
FW-044,Cargo,1.66,SUCCESS,384,43,341,0.724,0.763,0.153,0.652,0.785,0.477,0.703
FW-045,Research,1.88,SUCCESS,384,24,360,0.856,0.894,0.147,0.738,0.955,0.54,0.823
FW-046,Agriculture,1.4,SUCCESS,384,42,342,0.577,0.609,0.152,0.5,0.564,0.402,0.909
FW-047,Research,1.02,SUCCESS,384,64,320,0.421,0.463,0.155,0.4,0.447,0.347,0.882
FW-048,Surveillance,1.04,SUCCESS,384,53,331,0.425,0.463,0.151,0.335,0.456,0.244,0.86
FW-049,Racing,1.32,SUCCESS,384,66,318,0.546,0.582,0.147,0.472,0.578,0.31,0.858
FW-050,Training,1.95,SUCCESS,384,8,376,0.888,0.924,0.156,0.902,0.991,0.663,0.836
FW-051,Mapping,1.5,SUCCESS,384,38,346,0.638,0.679,0.159,0.589,0.657,0.51,0.708
FW-052,Racing,1.9,SUCCESS,384,29,355,0.841,0.866,0.154,0.746,0.899,0.546,0.847
FW-053,Research,1.48,SUCCESS,384,63,321,0.63,0.671,0.152,0.581,0.648,0.425,0.889
FW-054,Custom,1.41,SUCCESS,384,45,339,0.591,0.628,0.151,0.455,0.618,0.405,0.875
FW-055,Agriculture,1.71,SUCCESS,384,38,346,0.75,0.788,0.153,0.671,0.809,0.581,0.864
FW-056,Research,1.85,SUCCESS,384,31,353,0.827,0.861,0.154,0.791,0.875,0.629,0.868
FW-057,Survey,1.02,SUCCESS,384,38,346,0.394,0.422,0.157,0.329,0.375,0.293,0.809
FW-058,Survey,1.81,SUCCESS,384,33,351,0.804,0.837,0.148,0.774,0.856,0.52,0.719
FW-059,Racing,1.62,SUCCESS,384,34,350,0.699,0.738,0.158,0.579,0.766,0.466,0.813
FW-060,Agriculture,1.31,SUCCESS,384,52,332,0.545,0.583,0.148,0.468,0.574,0.377,0.879
FW-061,Mapping,1.99,SUCCESS,384,5,379,0.923,0.968,0.165,0.92,1.011,0.781,0.617
FW-062,Racing,1.9,SUCCESS,384,20,364,0.862,0.899,0.151,0.746,0.965,0.646,0.846
FW-063,Cargo,1.67,SUCCESS,384,32,352,0.726,0.761,0.15,0.539,0.79,0.392,0.686
FW-064,Custom,1.93,SUCCESS,384,22,362,0.863,0.89,0.156,0.825,0.913,0.656,0.856
FW-065,Agriculture,1.21,SUCCESS,384,64,320,0.498,0.536,0.15,0.39,0.53,0.284,0.866
FW-066,Research,1.51,SUCCESS,384,58,326,0.643,0.684,0.156,0.593,0.661,0.513,0.876
FW-067,Custom,1.97,SUCCESS,384,7,377,0.908,0.946,0.155,0.911,1.001,0.773,0.827
FW-068,Agriculture,1.2,SUCCESS,384,53,331,0.488,0.524,0.151,0.429,0.484,0.534,0.836
FW-069,Cargo,1.72,SUCCESS,384,36,348,0.76,0.797,0.148,0.735,0.814,0.494,0.719
FW-070,Research,1.85,SUCCESS,384,23,361,0.832,0.87,0.153,0.726,0.94,0.532,0.823
FW-071,Custom,1.88,SUCCESS,384,27,357,0.843,0.876,0.154,0.804,0.889,0.738,0.853
FW-072,Agriculture,1.89,SUCCESS,384,28,356,0.84,0.868,0.153,0.808,0.894,0.444,0.848
FW-073,Surveillance,1.42,SUCCESS,384,43,341,0.589,0.622,0.148,0.508,0.622,0.334,0.864
FW-074,Survey,1.58,SUCCESS,384,22,362,0.653,0.676,0.15,0.565,0.637,0.371,0.766
FW-075,Surveillance,1.02,SUCCESS,384,69,315,0.423,0.465,0.151,0.365,0.482,0.293,0.855
FW-076,Survey,1.74,SUCCESS,384,19,365,0.741,0.762,0.15,0.561,0.762,0.5,0.731
FW-077,Training,1.69,SUCCESS,384,32,352,0.722,0.751,0.157,0.604,0.74,0.486,0.849
FW-078,Racing,1.88,SUCCESS,384,30,354,0.833,0.861,0.152,0.738,0.889,0.639,0.87
FW-079,Custom,1.43,SUCCESS,384,48,336,0.599,0.636,0.152,0.561,0.626,0.411,0.889
FW-080,Surveillance,1.76,SUCCESS,384,31,353,0.778,0.815,0.151,0.752,0.832,0.414,0.86
FW-081,Survey,1.72,SUCCESS,384,39,345,0.759,0.797,0.149,0.735,0.814,0.404,0.71
FW-082,Survey,1.22,SUCCESS,384,50,334,0.484,0.512,0.148,0.522,0.406,0.351,0.841
FW-083,Racing,1.02,SUCCESS,384,75,309,0.411,0.445,0.149,0.472,0.375,0.293,0.867
FW-084,Survey,1.87,SUCCESS,384,30,354,0.828,0.855,0.149,0.734,0.885,0.636,0.726
FW-085,Racing,1.81,SUCCESS,384,33,351,0.81,0.848,0.153,0.774,0.856,0.71,0.859
FW-086,Custom,1.03,SUCCESS,384,53,331,0.4,0.426,0.152,0.368,0.307,0.404,0.867
FW-087,Mapping,1.08,SUCCESS,384,75,309,0.446,0.487,0.152,0.386,0.473,0.311,0.729
FW-088,Racing,1.82,SUCCESS,384,32,352,0.797,0.825,0.151,0.651,0.861,0.523,0.855
FW-089,Agriculture,1.27,SUCCESS,384,27,357,0.498,0.521,0.147,0.41,0.467,0.298,0.908
FW-090,Training,1.37,SUCCESS,384,42,342,0.555,0.583,0.148,0.442,0.504,0.61,0.85
FW-091,Racing,1.68,SUCCESS,384,43,341,0.723,0.757,0.16,0.659,0.736,0.571,0.852
FW-092,Surveillance,1.78,SUCCESS,384,30,354,0.795,0.834,0.148,0.699,0.904,0.512,0.829
FW-093,Agriculture,1.2,SUCCESS,384,41,343,0.47,0.494,0.147,0.345,0.442,0.282,0.878
FW-094,Mapping,1.88,SUCCESS,384,15,369,0.852,0.89,0.152,0.804,0.955,0.639,0.7
FW-095,Custom,1.67,SUCCESS,384,45,339,0.722,0.755,0.151,0.597,0.79,0.392,0.84
FW-096,Survey,1.62,SUCCESS,384,45,339,0.705,0.744,0.149,0.636,0.766,0.551,0.726
FW-097,Long Endurance,1.02,SUCCESS,384,58,326,0.4,0.428,0.149,0.329,0.375,0.454,0.856
FW-098,Surveillance,1.05,SUCCESS,384,55,329,0.423,0.461,0.156,0.339,0.46,0.302,0.845
FW-099,Long Endurance,1.87,SUCCESS,384,30,354,0.828,0.855,0.15,0.799,0.885,0.439,0.866
FW-100,Cargo,1.55,SUCCESS,384,39,345,0.664,0.705,0.16,0.608,0.679,0.527,0.702
